task,lang,metric,baseline,method,n_queries,meandiff,t_stat,p_raw,p_adj_holm,reject
rat2rev,en,R@100,bm25,bm25+q2e_zs.qwen3.5-9b,113,0.0029555328660688033,0.913622633368123,0.3628777647647879,1.0,False
rat2rev,en,R@100,bm25,bm25+task_q2e.gpt-4.1-mini,113,0.0034816487965889324,2.2265253224439947,0.027979895060900265,0.5875777962789056,False
rat2rev,en,R@100,bm25,bm25+task_q2e.qwen3.5-9b,113,0.0017033345163789038,1.819612226156012,0.07148915781295467,1.0,False
rat2rev,en,R@100,bm25,jina-reranker-v2+bm25,113,0.0,0.0,1.0,1.0,False
rat2rev,en,R@100,bm25,jina-v3,113,0.1053281043742197,5.119832565035163,1.2820601319056818e-06,3.717974382526477e-05,True
rat2rev,en,R@100,bm25,jina-v3+d2e,113,0.12133852186451458,5.024118216597783,1.929705033806085e-06,5.403174094657039e-05,True
rat2rev,en,R@100,bm25,jina-v3+d2q,113,0.027674292310408233,1.3637902507213888,0.17536829702899834,1.0,False
rat2rev,en,R@100,bm25,jina-v3+q2d_zs.gpt-4.1-mini,113,0.09387148348706774,4.567194924674438,1.2769414977609532e-05,0.0003192353744402383,True
rat2rev,en,R@100,bm25,jina-v3+q2d_zs.qwen3.5-9b,113,0.09827482762634739,4.797178227652453,4.99853799904679e-06,0.00013496052597426332,True
rat2rev,en,R@100,bm25,jina-v3+q2e_zs.gpt-4.1-mini,113,0.112503294455847,5.270911088513626,6.665674145871003e-07,1.9997022437613008e-05,True
rat2rev,en,R@100,bm25,jina-v3+q2e_zs.qwen3.5-9b,113,0.11049594445100916,5.321130435846404,5.350890824302746e-07,1.7122850637768787e-05,True
rat2rev,en,R@100,bm25,jina-v3+task_q2e.gpt-4.1-mini,113,0.11334393466452466,5.518841815126721,2.2290798194207196e-07,7.3559634040883745e-06,True
rat2rev,en,R@100,bm25,jina-v3+task_q2e.qwen3.5-9b,113,0.11682513934540426,5.6958123982377025,1.0038894483534353e-07,3.41322412440168e-06,True
rat2rev,en,R@100,bm25,mcontriever,113,-0.0626926221096266,-3.623922391469022,0.0004378324473259281,0.009632313841170418,True
rat2rev,en,R@100,bm25,mcontriever-maxp-both,113,-0.06630993173957611,-3.770496232560073,0.00026187924252148046,0.00602322257799405,True
rat2rev,en,R@100,bm25,mcontriever-maxp-doc,113,-0.07945821075751493,-4.613743781168942,1.0585188056043508e-05,0.00027521488945713124,True
rat2rev,en,R@100,bm25,mcontriever-maxp-q,113,-0.06239573307400402,-3.853037291188801,0.00019489808110087676,0.004677553946421042,True
rat2rev,en,R@100,bm25,mdpr,113,-0.1414442812351005,-6.221141123700194,8.761729740477925e-09,3.329457301381612e-07,True
rat2rev,en,R@100,bm25,mdpr-maxp-both,113,-0.1244667551666652,-5.842011471047246,5.145164659641483e-08,1.8008076308745189e-06,True
rat2rev,en,R@100,bm25,mdpr-maxp-doc,113,-0.12993070004901558,-5.898106847065487,3.972597025335293e-08,1.4301349291207056e-06,True
rat2rev,en,R@100,bm25,mdpr-maxp-q,113,-0.13746488996873413,-6.125174088364688,1.3781056366694412e-08,5.098990855676933e-07,True
rat2rev,en,R@100,bm25,me5-base,113,-0.004793734557730793,-0.2605782838492709,0.794896226553077,1.0,False
rat2rev,en,R@100,bm25,me5-base-maxp-both,113,-0.010707058564788142,-0.6948718372944568,0.48857468444957375,1.0,False
rat2rev,en,R@100,bm25,me5-base-maxp-doc,113,-0.015665670906163578,-0.9243327261358506,0.35730032176330456,1.0,False
rat2rev,en,R@100,bm25,me5-base-maxp-q,113,0.006013475032150496,0.3471454704756182,0.7291334863367297,1.0,False
rat2rev,en,R@100,bm25,qwen3-reranker-0.6b+bm25,113,0.0,0.0,1.0,1.0,False
rat2rev,en,R@100,bm25,qwen3-reranker-4b+bm25,113,0.0,0.0,1.0,1.0,False
rat2rev,en,R@100,bm25,qwen3-reranker-8b+bm25,113,0.0,0.0,1.0,1.0,False
rat2rev,en,R@100,bm25,rankgpt-gpt-4.1-mini+bm25,113,0.0,0.0,1.0,1.0,False
rat2rev,en,R@100,bm25,rankgpt-gpt-4.1-nano+bm25,113,0.0,0.0,1.0,1.0,False
rat2rev,en,R@100,bm25,rankgpt-gpt-5.4-mini+bm25,113,0.0,0.0,1.0,1.0,False
rat2rev,en,R@1000,bm25,bge-m3,113,0.013323120771557657,0.5948210477710371,0.5531629140500526,0.7870447265609318,False
rat2rev,en,R@1000,bm25,bge-reranker-v2-m3+bm25,113,-0.18076093779524344,-11.44485347039194,1.4829735148661528e-20,5.63529935649138e-19,True
rat2rev,en,R@1000,bm25,bm25+d2e,113,0.11153213178762503,6.597707146735906,1.4395303326972047e-09,2.5911545988549684e-08,True
rat2rev,en,R@1000,bm25,bm25+d2q,113,0.01732251889465876,1.7722422927893313,0.07907344958313092,0.5535141470819165,False
rat2rev,en,R@1000,bm25,bm25+q2d_zs.gpt-4.1-mini,113,0.0015764401666251027,1.239870970654277,0.2176146074000439,0.7870447265609318,False
