task,lang,metric,baseline,method,n_queries,meandiff,t_stat,p_raw,p_adj_holm,reject
rat2rev,en,R@1000,jina-v3,bm25+d2q,113,-0.15482997774466886,-7.6258634936107095,8.541134837410309e-12,1.3665815739856494e-10,True
rat2rev,en,R@1000,jina-v3,bm25+q2d_zs.gpt-4.1-mini,113,-0.1705760564727025,-8.084501061184117,8.076783661419312e-13,1.6961245688980556e-11,True
rat2rev,en,R@1000,jina-v3,bm25+q2d_zs.qwen3.5-9b,113,-0.1754339694592985,-8.270786768854816,3.069549472699967e-13,7.0599637872099245e-12,True
rat2rev,en,R@1000,jina-v3,bm25+q2e_zs.gpt-4.1-mini,113,-0.16089968565443036,-7.362689711910452,3.248105746649687e-11,4.872158619974531e-10,True
rat2rev,en,R@1000,jina-v3,bm25+q2e_zs.qwen3.5-9b,113,-0.170173212366742,-8.036494975061752,1.0355164057771293e-12,1.9674811709765456e-11,True
rat2rev,en,R@1000,jina-v3,bm25+task_q2e.gpt-4.1-mini,113,-0.16648351379465193,-7.87600763369248,2.3702223256686302e-12,4.266400186203534e-11,True
rat2rev,en,R@1000,jina-v3,bm25+task_q2e.qwen3.5-9b,113,-0.16940399287023633,-8.0512222397667,9.595466477075493e-13,1.9190932954150984e-11,True
rat2rev,en,R@1000,jina-v3,jina-reranker-v2+bm25,113,-0.352913434434571,-15.728567878695312,3.98479029462729e-30,1.5142203119583704e-28,True
rat2rev,en,R@1000,jina-v3,jina-v3+d2e,113,0.023732303036843073,1.6823273044647924,0.09529141106212108,0.3811656442484843,False
rat2rev,en,R@1000,jina-v3,jina-v3+d2q,113,-0.07563355682075075,-5.878429733234492,4.3504507423786396e-08,5.205320544975251e-07,True
rat2rev,en,R@1000,jina-v3,jina-v3+q2d_zs.gpt-4.1-mini,113,-0.013623527964078007,-2.3628094865561984,0.019861664358978095,0.13903165051284666,False
rat2rev,en,R@1000,jina-v3,jina-v3+q2d_zs.qwen3.5-9b,113,-0.016940238181167973,-2.21691192809832,0.028649147025613452,0.1718948821536807,False
rat2rev,en,R@1000,jina-v3,jina-v3+q2e_zs.gpt-4.1-mini,113,-0.00765448196612651,-1.5018477124944576,0.1359506219892643,0.4078518659677929,False
rat2rev,en,R@1000,jina-v3,jina-v3+q2e_zs.qwen3.5-9b,113,-0.009799469969316868,-1.9280413884406709,0.056381857351164556,0.2819092867558228,False
rat2rev,en,R@1000,jina-v3,jina-v3+task_q2e.gpt-4.1-mini,113,0.0002963200377246501,0.050728926707277106,0.9596318877354763,1.0,False
rat2rev,en,R@1000,jina-v3,jina-v3+task_q2e.qwen3.5-9b,113,0.0008820420654328329,0.1673205363260224,0.8674195797969023,1.0,False
rat2rev,en,R@1000,jina-v3,mcontriever,113,-0.22833854774441714,-10.26323815473087,8.067374944305823e-18,2.0168437360764557e-16,True
rat2rev,en,R@1000,jina-v3,mcontriever-maxp-both,113,-0.2128366039051291,-8.84108815812574,1.5453894694795565e-14,3.7089347267509356e-13,True
rat2rev,en,R@1000,jina-v3,mcontriever-maxp-doc,113,-0.2372365529820614,-11.21663696563844,4.992404065654876e-20,1.2980250570702676e-18,True
rat2rev,en,R@1000,jina-v3,mcontriever-maxp-q,113,-0.19087385238882174,-7.744313102526973,4.661224330396082e-12,7.924081361673339e-11,True
rat2rev,en,R@1000,jina-v3,mdpr,113,-0.38789341558866725,-14.184858245676677,9.115019880781195e-27,2.6433557654265464e-25,True
rat2rev,en,R@1000,jina-v3,mdpr-maxp-both,113,-0.36289351998678293,-14.07156972649437,1.6248735174033086e-26,4.549645848729264e-25,True
rat2rev,en,R@1000,jina-v3,mdpr-maxp-doc,113,-0.38543671653081635,-14.883405532983911,2.660754980662972e-28,7.982264941988915e-27,True
rat2rev,en,R@1000,jina-v3,mdpr-maxp-q,113,-0.36521760435986006,-13.362472989057844,6.238719874238954e-25,1.6844543660445178e-23,True
rat2rev,en,R@1000,jina-v3,me5-base,113,-0.13139673636517443,-5.879062538219673,4.337767120812709e-08,5.205320544975251e-07,True
rat2rev,en,R@1000,jina-v3,me5-base-maxp-both,113,-0.11767090076013315,-5.340398324237514,4.916858129856808e-07,4.7066917640403446e-06,True
rat2rev,en,R@1000,jina-v3,me5-base-maxp-doc,113,-0.14659939636331173,-7.08285524642877,1.3223239167957345e-10,1.7190210918344548e-09,True
rat2rev,en,R@1000,jina-v3,me5-base-maxp-q,113,-0.11005646513322556,-5.35033381890907,4.706691764040345e-07,4.7066917640403446e-06,True
rat2rev,en,R@1000,jina-v3,qwen3-reranker-0.6b+bm25,113,-0.352913434434571,-15.728567878695312,3.98479029462729e-30,1.5142203119583704e-28,True
rat2rev,en,R@1000,jina-v3,qwen3-reranker-4b+bm25,113,-0.352913434434571,-15.728567878695312,3.98479029462729e-30,1.5142203119583704e-28,True
rat2rev,en,R@1000,jina-v3,qwen3-reranker-8b+bm25,113,-0.352913434434571,-15.728567878695312,3.98479029462729e-30,1.5142203119583704e-28,True
rat2rev,en,R@1000,jina-v3,rankgpt-gpt-4.1-mini+bm25,113,-0.352913434434571,-15.728567878695312,3.98479029462729e-30,1.5142203119583704e-28,True
rat2rev,en,R@1000,jina-v3,rankgpt-gpt-4.1-nano+bm25,113,-0.352913434434571,-15.728567878695312,3.98479029462729e-30,1.5142203119583704e-28,True
rat2rev,en,R@1000,jina-v3,rankgpt-gpt-5.4-mini+bm25,113,-0.352913434434571,-15.728567878695312,3.98479029462729e-30,1.5142203119583704e-28,True
rat2rev,en,nDCG@10,jina-v3,bge-m3,113,-0.03802347645051874,-2.6492129943649196,0.009233787579224152,0.22161090190137964,False
rat2rev,en,nDCG@10,jina-v3,bge-reranker-v2-m3+bm25,113,-0.05904818196899488,-3.500333561620096,0.0006680838034322249,0.020042514102966747,True
rat2rev,en,nDCG@10,jina-v3,bm25,113,-0.04709309227456827,-2.5579401025556807,0.011865371987210499,0.26103818371863097,False
rat2rev,en,nDCG@10,jina-v3,bm25+d2e,113,-0.02891225673913643,-1.6087090258681733,0.11049525689899269,1.0,False
rat2rev,en,nDCG@10,jina-v3,bm25+d2q,113,-0.048904913560292314,-2.715693568422345,0.007662554771241007,0.19156386928102517,False
rat2rev,en,nDCG@10,jina-v3,bm25+q2d_zs.gpt-4.1-mini,113,-0.04712340484665979,-2.64003934985311,0.00947210910693232,0.22161090190137964,False
rat2rev,en,nDCG@10,jina-v3,bm25+q2d_zs.qwen3.5-9b,113,-0.05109189187422487,-2.8413369567787496,0.005338712440787533,0.14142980892529985,False
rat2rev,en,nDCG@10,jina-v3,bm25+q2e_zs.gpt-4.1-mini,113,-0.045325791647039176,-2.472591651197183,0.014916674688132696,0.3091621360127781,False
rat2rev,en,nDCG@10,jina-v3,bm25+q2e_zs.qwen3.5-9b,113,-0.04207216236096418,-2.2885137310466455,0.023983585997266875,0.43170454795080376,False
rat2rev,en,nDCG@10,jina-v3,bm25+task_q2e.gpt-4.1-mini,113,-0.04516247229191231,-2.4775463547798746,0.014722006476798956,0.3091621360127781,False
rat2rev,en,nDCG@10,jina-v3,bm25+task_q2e.qwen3.5-9b,113,-0.04459335180833131,-2.4512240946400508,0.015782778083194043,0.3091621360127781,False
